#;PIAN;Přesnost;PIAN - typ;PIAN - Základní mapa 1:10 000;x;y;GML;Identifikátor;Okres;Katastr;Další katastry;Vedoucí akce;Organizace;Specifikace data;Datum zahájeni;Datum ukončení;Hlavní typ;Vedlejší typ;Akce - lokalizace;Akce - nahrazuje NZ;Přístupnost
1;P-2423-100331;odchylka jednotky metrů;linie;24-23-09;49.49086;16.869774;"<LineString srsName=""EPSG:4326""><coordinates>16.8697739,49.4908614 16.869731,49.4908834</coordinates></LineString>";M-202202758A;Prostějov;;;Fojtík, Pavel;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;20.02.2023;20.02.2023;jiná evidence;;;Ano;anonym
2;P-2423-100258;odchylka desítky metrů;polygon;24-23-09;49.49673;16.923222;"<Polygon srsName=""EPSG:4326""><outerBoundaryIs><LinearRing><coordinates>16.9233411,49.4971134 16.9234721,49.497009 16.9235375,49.496893 16.9235435,49.4967887 16.9234363,49.4966727 16.9232816,49.4965915 16.9233114,49.496464 16.9233828,49.496375 16.9234006,49.4962668 16.9233768,49.4962359 16.9232935,49.4962552 16.9231388,49.4963944 16.9230792,49.4965799 16.9229066,49.4967887 16.9230197,49.4969549 16.9231328,49.4971095 16.9232518,49.4971404 16.9233411,49.4971134</coordinates></LinearRing></outerBoundaryIs></Polygon>";M-201902080A;Prostějov;;;Fojtík, Pavel;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;10.06.2019;11.06.2019;plošný odkryv;;;Ne;anonym
3;P-2423-100259;odchylka jednotky metrů;polygon;24-23-09;49.496967;16.923326;"<Polygon srsName=""EPSG:4326""><outerBoundaryIs><LinearRing><coordinates>16.923267,49.4971317 16.9234625,49.4970114 16.9235293,49.4968578 16.9231796,49.4969212 16.9231436,49.497115 16.923267,49.4971317</coordinates></LinearRing></outerBoundaryIs></Polygon>";M-201902080A;Prostějov;;;Fojtík, Pavel;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;10.06.2019;11.06.2019;plošný odkryv;;;Ne;anonym
4;P-2423-100209;odchylka desítky metrů;polygon;24-23-09;49.490784;16.868593;"<Polygon srsName=""EPSG:4326""><outerBoundaryIs><LinearRing><coordinates>16.8684316,49.4907922 16.868655,49.4908713 16.8687545,49.4907737 16.8685433,49.4907025 16.8684316,49.4907922</coordinates></LinearRing></outerBoundaryIs></Polygon>";M-202002133A;Prostějov;;;Fojtík, Pavel;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;10.07.2020;14.07.2020;vizuální/geodetický průzkum;;;Ano;anonym
5;P-2423-100196;odchylka desítky metrů;bod;24-23-09;49.49868;16.894796;"<Point srsName=""EPSG:4326""><coordinates>16.8947968,49.498681</coordinates></Point>";M-9000697A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;01.07.1986;09.10.1986;plošný odkryv;;;Ne;anonym
6;P-2423-100203;odchylka jednotky metrů;linie;24-23-09;49.494686;16.885277;"<LineString srsName=""EPSG:4326""><coordinates>16.8849565,49.4945587 16.8852773,49.4946863 16.8855279,49.4948462</coordinates></LineString>";M-202104757A;Prostějov;;;Fojtík, Pavel;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;25.10.2021;25.10.2021;jiná evidence;;;Ano;anonym
7;P-2423-100193;odchylka stovky metrů;bod;24-23-09;49.498215;16.89562;"<Point srsName=""EPSG:4326""><coordinates>16.8956206,49.4982148</coordinates></Point>";M-9000695A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesně v letech;01.01.1989;31.12.1990;sonda;;;Ne;anonym
8;P-2423-100200;odchylka desítky metrů;bod;24-23-08;49.491066;16.856894;"<Point srsName=""EPSG:4326""><coordinates>16.8568935,49.4910658</coordinates></Point>";M-9000769A;Prostějov;;;anonym;Vlastivědné muzeum v Olomouci;přesně v letech;01.01.2009;31.12.2009;průzkum detektorem kovu;;;Ne;anonym
9;P-2423-100195;odchylka desítky metrů;polygon;24-23-09;49.49839;16.894266;"<Polygon srsName=""EPSG:4326""><outerBoundaryIs><LinearRing><coordinates>16.8943337,49.498417 16.8943337,49.498358 16.8942005,49.4983607 16.8941962,49.4984197 16.8943337,49.498417</coordinates></LinearRing></outerBoundaryIs></Polygon>";M-9000685A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;15.08.1990;15.08.1993;plošný odkryv;;;Ne;anonym
10;P-2423-100194;odchylka desítky metrů;polygon;24-23-09;49.499096;16.901829;"<Polygon srsName=""EPSG:4326""><outerBoundaryIs><LinearRing><coordinates>16.902119,49.4992683 16.9021581,49.4989016 16.9015432,49.4989198 16.9014985,49.4992755 16.902119,49.4992683</coordinates></LinearRing></outerBoundaryIs></Polygon>";M-9000684A;Prostějov;;;Čižmář, Miloš;Archeologický ústav AV ČR, Brno, v. v. i.;přesně v letech;01.01.1990;31.12.1992;plošný odkryv;;;Ne;anonym
