ident_cely_komponenty;ident_cely_akce;pian;obdobi;areal;x;y
M-202500078A-K002;M-202500078A;P-3421-100497;doba laténská;sídliště;48.94463;16.721842
M-202304661A-K002;M-202304661A;P-3421-100499;doba laténská;sídliště;48.943817;16.721817
M-202501118A-K009;M-202501118A;P-2434-102378;doba laténská;neurčený areál;49.119305;16.643122
M-202301992A-K004;M-202301992A;P-3421-100290;doba laténská;sídliště;48.871788;16.971195
M-202301992A-K005;M-202301992A;P-3421-100290;časná doba laténská (LtA);sídliště;48.871788;16.971195
M-202301991A-K005;M-202301991A;P-3421-100289;doba laténská;sídliště;48.870323;16.972645
M-202301991A-K006;M-202301991A;P-3421-100289;doba laténská;izolovaný pohřeb;48.870323;16.972645
M-202301991A-K007;M-202301991A;P-3421-100289;časná doba laténská (LtA);sídliště;48.870323;16.972645
M-202105860A-K002;M-202105860A;P-1443-100449;doba laténská;sídliště;49.764267;16.910055
M-202304571A-K003;M-202304571A;P-2441-101315;doba laténská;izolovaný pohřeb;49.211685;16.823679
M-202300965A-K008;M-202300965A;P-2442-100727;doba laténská;sídliště;49.2966;17.012346
M-9001854A-K004;M-9001854A;P-2434-101345;doba laténská;neurčený areál;49.125977;16.656971
M-9002221A-K001;M-9002221A;P-2422-101161;doba laténská;ojedinělý nález;49.56326;17.07591
M-9002223A-K002;M-9002223A;P-2422-101164;doba laténská;ojedinělý nález;49.560226;17.107851
M-9002217A-K001;M-9002217A;P-2422-101159;doba laténská;ojedinělý nález;49.60911;17.1981
M-9106728A-K001;M-9106728A;P-2434-900021;doba laténská;pohřební areál;49.08893;16.59909
M-9106674A-K001;M-9106674A;P-2434-900015;doba laténská;pohřební areál;49.12631;16.65476
M-9002378A-K001;M-9002378A;P-2422-101299;mladší–pozdní doba laténská (LtC2–D);ojedinělý nález;49.61502;17.301027
M-9123938A-K001;M-9123938A;P-2434-101378;doba laténská;pohřební areál;49.075768;16.545826
M-9115388A-K001;M-9115388A;P-2434-900028;doba laténská;pohřební areál;49.15925;16.648506
M-9106690A-K001;M-9106690A;P-3423-100416;doba laténská;pohřební areál;48.72811;16.97318
M-9107185A-K002;M-9107185A;P-2541-100060;doba laténská;neurčený areál;49.231377;18.08217
M-9120462A-K001;M-9120462A;P-2434-101382;doba laténská;pohřební areál;49.082157;16.54801
M-9106951A-K001;M-9106951A;P-2414-900107;doba laténská;neurčený areál;49.496014;16.661602
M-9116103A-K002;M-9116103A;P-2434-101404;doba laténská;neurčený areál;49.096375;16.625723
M-9118313A-K005;M-9118313A;P-2421-100505;doba laténská;sídliště;49.608593;16.678381
M-9126268A-K001;M-9126268A;P-2434-900058;doba laténská;neurčený areál;49.082024;16.551136
M-9106675A-K001;M-9106675A;P-2434-101414;doba laténská;pohřební areál;49.166866;16.653263
M-9101880A-K001;M-9101880A;P-2433-100317;doba laténská;výšinné sídliště;49.13943;16.104664
M-9122362A-K001;M-9122362A;P-2434-101421;doba laténská;pohřební areál;49.148743;16.653332
M-9116819A-K001;M-9116819A;P-2434-101357;doba laténská;sídliště;49.12814;16.6605
M-9121272A-K001;M-9121272A;P-2421-100481;doba laténská;neurčený areál;49.541977;16.760088
M-202401209A-K002;M-202401209A;P-1532-101402;časná doba laténská (LtA);sídliště;49.964043;17.860027
M-202401209A-K014;M-202401209A;P-1532-101407;doba laténská;sídliště;49.955467;17.90763
M-9100594A-K003;M-9100594A;P-3423-100253;doba laténská;město;48.82686;16.848433
M-9100594A-K009;M-9100594A;P-3423-100420;doba laténská;město;48.82661;16.847912
M-9100594A-K015;M-9100594A;P-3423-100255;doba laténská;město;48.824894;16.845932
M-9100594A-K021;M-9100594A;P-3423-100256;doba laténská;město;48.82455;16.84673
M-9110710A-K001;M-9110710A;P-2442-100649;doba laténská;pohřební areál;49.215027;17.032145
M-9120304A-K001;M-9120304A;P-2441-900052;doba laténská;neurčený areál;49.281635;16.864151
M-202100230A-K003;M-202100230A;P-2513-100618;doba laténská;sídliště;49.45215;17.407986
M-202200372E-K020;M-202200372E;P-2513-100563;doba laténská;sídliště;49.464237;17.42275
M-202200452A-K004;M-202200452A;P-3421-100453;mladší–pozdní doba laténská (LtC2–D);sídliště;48.924114;16.964249
M-202200372C-K014;M-202200372C;P-2513-100561;doba laténská;neurčený areál;49.462063;17.421309
M-202200372D-K016;M-202200372D;P-2513-100562;doba laténská;sídliště;49.4661;17.4268
M-202200372D-K017;M-202200372D;P-2513-100562;střední doba laténská (LtB–C1);sídliště;49.4661;17.4268
M-202200372D-K018;M-202200372D;P-2513-100562;pozdní doba laténská (LtD);sídliště;49.4661;17.4268
M-202200372B-K012;M-202200372B;P-2513-100560;doba laténská;sídliště;49.466652;17.424368
M-9002331A-K001;M-9002331A;P-2424-101129;střední doba laténská (LtB–C1);ojedinělý nález;49.45134;17.112568
M-202203215A-K010;M-202203215A;P-2434-102269;doba laténská;sídliště;49.08339;16.600061
M-9002290A-K002;M-9002290A;P-2443-100890;doba laténská;ojedinělý nález;49.19146;16.677963
M-202303475A-K002;M-202303475A;P-2531-101661;doba laténská;sídliště;49.309574;17.565376
M-202105919A-K003;M-202105919A;P-2531-101659;doba laténská;neurčený areál;49.34878;17.61543
M-202301852A-K002;M-202301852A;P-2531-101624;doba laténská;neurčený areál;49.277912;17.39246
M-9002175A-K003;M-9002175A;P-2424-100947;doba laténská;ojedinělý nález;49.410965;17.126154
M-9002175A-K004;M-9002175A;P-2424-100948;doba laténská;neurčený areál;49.41409;17.132711
M-9002201A-K006;M-9002201A;P-2531-101651;doba laténská;sídliště;49.204163;17.567694
M-202300201A-K003;M-202300201A;P-2422-101204;doba laténská;sídliště;49.55201;17.24906
M-202100223A-K002;M-202100223A;P-2442-100629;doba laténská;sídliště;49.33918;17.25001
M-202100368A-K004;M-202100368A;P-2422-101216;doba laténská;sídliště;49.668964;17.122103
M-9002139A-K001;M-9002139A;P-2532-100559;doba laténská;ojedinělý nález;49.224625;17.7308
M-202100221A-K006;M-202100221A;P-2442-100627;doba laténská;sídliště;49.339;17.249836
M-9002113A-K009;M-9002113A;P-2422-101020;doba laténská;sídliště;49.5509;17.166687
M-9002113A-K014;M-9002113A;P-2422-101023;doba laténská;sídliště;49.559128;17.232489
M-9002113A-K018;M-9002113A;P-2422-101024;střední doba laténská (LtB–C1);sídliště;49.552517;17.250027
M-9002113A-K020;M-9002113A;P-2422-101025;střední doba laténská (LtB–C1);sídliště;49.547466;17.314112
M-9122461A-K001;M-9122461A;P-2434-101332;doba laténská;pohřební areál;49.10236;16.604042
M-9123558A-K001;M-9123558A;P-2434-101379;doba laténská;sídliště;49.075222;16.545992
M-9123409A-K001;M-9123409A;P-2514-100407;doba laténská;hradiště;49.42744;17.830252
M-9122458A-K001;M-9122458A;P-2414-100518;doba laténská;železářský areál;49.442715;16.579855
M-9122458A-K002;M-9122458A;P-2414-100517;doba laténská;sídliště;49.435295;16.585613
M-9122409A-K002;M-9122409A;P-2414-100527;doba laténská;neurčený areál;49.428707;16.576094
M-9118061A-K005;M-9118061A;P-2414-100538;doba laténská;sídliště;49.47083;16.599974
