#;Pian;Pøesnost;PIAN - typ;PIAN - Základní mapa 1:10 000;Definièní bod (WGS-84);WKT;Identifikátor;Okres;Katastr;Další katastry;Vedoucí akce;Organizace;Specifikace data;Datum zahájeni;Datum ukonèení;Hlavní typ;Vedlejší typ;Akce - lokalizace;Akce - nahrazuje NZ;Pøístupnost
5;P-2432-101618;odchylka jednotky metrù;linie;24-32-02;49.352947 : 16.4261;LINESTRING(16.4286278 49.3551669,16.428578 49.3548986,16.4284894 49.3546751,16.4283131 49.3542642,16.4281497 49.3539301,16.4280576 49.3537583,16.4279552 49.3535858,16.4275236 49.3532812,16.4273654 49.3532039,16.4271357 49.3531488,16.4267936 49.353114,16.4265388 49.3530854,16.4262907 49.3530166,16.4260999 49.3529474,16.4259099 49.3528318,16.425292 49.3522986,16.4248231 49.3517343,16.4244042 49.351212,16.4242367 49.3512305,16.4242544 49.3513251,16.4241594 49.3513798,16.4242803 49.3516385,16.42464 49.352366,16.4248113 49.3524381,16.4252812 49.3523114);M-202402708A;Brno-venkov;Tišnov;;Matìjíèková, Andrea;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;12.06.2024;02.12.2024;skupina/sí sond;;Tišnov, ul. Kukırna, Lomnické. Parc.è.: 2322/2, 2006/1, 2322/1, 2331/13, 786/26;Ano;anonym
6;P-2432-101609;odchylka jednotky metrù;linie;24-32-14;49.296837 : 16.538893;LINESTRING(16.5388176 49.296916,16.5388925 49.2968353,16.5389508 49.2968276,16.5389522 49.2967469);M-202404143A;Brno-venkov;Kuøim;;Matìjíèková, Andrea;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;16.07.2024;23.07.2024;skupina/sí sond;;intravilán. Parc.è.: 605/1, 1034, 1039;Ano;anonym
7;P-2432-101619;odchylka jednotky metrù;linie;24-32-02;49.351334 : 16.424227;LINESTRING(16.4242263 49.3513431,16.424227 49.3513338,16.4242369 49.3513337);M-202402708A;Brno-venkov;Tišnov;;Matìjíèková, Andrea;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;12.06.2024;02.12.2024;skupina/sí sond;;Tišnov, ul. Kukırna, Lomnické. Parc.è.: 2322/2, 2006/1, 2322/1, 2331/13, 786/26;Ano;anonym
10;P-2432-100720;odchylka desítky metrù;linie;24-32-07;49.326492 : 16.455284;LINESTRING(16.4545584 49.3253648,16.4545488 49.3253513,16.4549701 49.3251752,16.4551942 49.3264951,16.4552832 49.326492,16.4554899 49.3268204,16.4555312 49.3268546,16.455598 49.3268784,16.45566 49.3268846,16.4556965 49.3268743,16.4562958 49.3266743,16.456299 49.3266733,16.4563006 49.3266795);M-202100454A;Brno-venkov;Hradèany u Tišnova;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;01.02.2021;04.02.2021;vertikální øez;;"""Plachetky"". Parc. è. 1152, 1143, 1140/1, 1140/2, 1140/3, 1140/4.";Ne;anonym
20;P-2432-100577;odchylka desítky metrù;linie;24-32-08;49.318363 : 16.525589;LINESTRING(16.5158957 49.3165403,16.5255894 49.3183645,16.5260774 49.3187906,16.5274858 49.3189886);M-9000218A;Brno-venkov;Kuøim;;Èimáø, Miloš;Archeologickı ústav AV ÈR, Brno, v.v.i.;pøesnì v letech;01.01.1984;31.12.1985;vertikální øez;;tra Za Špihlíkem, Díly u Špihlíka, Nivky;Ne;anonym
38;P-2432-100428;odchylka desítky metrù;linie;24-32-09;49.299767 : 16.531353;LINESTRING(16.5306569 49.2998073,16.5313523 49.2997654,16.5325533 49.2996148,16.5331027 49.2995443);M-201902629A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;25.07.2019;21.10.2019;vertikální øez;;Ulice Zahradní. Parc. è. 288/1, 304/1, 304/5, 304/7, 320/1, 348/8.;Ne;anonym
40;P-2432-100379;odchylka desítky metrù;linie;24-32-09;49.32149 : 16.548052;LINESTRING(16.5468486 49.3208853,16.5489986 49.3191582,16.5499716 49.3199467,16.5480518 49.3214896,16.5468552 49.3208853);M-201900142A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;17.01.2019;16.08.2019;vertikální øez;;Blanenská 1191/127. Parc. è. 3029/1, 3034/2.;Ano;anonym
42;P-2432-101147;odchylka desítky metrù;linie;24-32-09;49.305832 : 16.532528;LINESTRING(16.5325273 49.3058337,16.5326687 49.3061808);M-9104602A;Brno-venkov;Kuøim;;Geisler, Martin;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;19.05.2010;09.06.2010;vertikální øez;;"Bezruèova ètvr, ul. Na zahrádkách; optickı kabel KME - Bezruèova ètvrt'";Ne;anonym
49;P-2432-100769;odchylka desítky metrù;linie;24-32-07;49.32182 : 16.45199;LINESTRING(16.4523166 49.3221728,16.4519901 49.3218181,16.4525846 49.3216162);M-9101234A;Brno-venkov;Sentice;;Bálek, Miroslav;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;01.08.2000;31.08.2000;vertikální øez;;"tra Velké klínky, Široké; plynofikace obce";Ne;anonym
62;P-2432-100259;odchylka desítky metrù;linie;24-32-13;49.290874 : 16.49899;LINESTRING(16.4989891 49.2908746,16.4990181 49.2910052);M-201801586A;Brno-venkov;Moravské Knínice;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;30.05.2017;18.10.2017;vertikální øez;;Ulice Dolní branka, Horní branka, Mezihoøí, U Školky, Úvoz a Vinohradská. Parc. è. 4/2, 5/2, 6/1, 44, 45, 46, 48, 52, 67, 68, 76/1, 79, 80, 82, 84, 86/2, 87/1, 89, 92/2, 99/3, 100, 106, 111, 112, 116, 117, 121, 124, 125, 126/1, 126/2, 127, 129, 142/1, 144, 146, 152/3, 156/1, 158, 161, 162, 169, 172/1, 173, 175, 176, 178, 180, 182/2, 183/2, 184, 192/1, 193, 196, 208/1, 208/2, 261/1, 272, 274, 280, 283/2, 283/3, 283/4, 283/5, 283/6, 490, 493, 495, 497/1, 497/2, 504, 519, 525, 527, 532, 534, 535, 536, 538/2, 541, 549, 550, 598, 599, 601, 603, 604/2, 605, 606, 608, 610, 612, 614, 616, 618, 624, 638, 640, 643, 644, 646, 647, 648, 658/1, 658/2, 659/1, 667/2, 667/5, 667/6, 669/1, 772/1, 829/2, 1049/1, 1049/2, 1050, 1053, 1054, 1055, 1056, 1060, 1061, 1062, 1066, 1072, 1074, 1077, 1203/1, 1203/3, 1203/4, 1204, 1205 a 1214 .;Ano;anonym
