#;Pian;Pøesnost;PIAN - typ;PIAN - Základní mapa 1:10 000;Definièní bod (WGS-84);WKT;Identifikátor;Okres;Katastr;Další katastry;Vedoucí akce;Organizace;Specifikace data;Datum zahájeni;Datum ukonèení;Hlavní typ;Vedlejší typ;Akce - lokalizace;Akce - nahrazuje NZ;Pøístupnost
1;P-2432-101664;odchylka jednotky metrù;polygon;24-32-08;49.31591 : 16.464237;POLYGON((16.4897563 49.3111604,16.4910065 49.3109691,16.4922359 49.3102606,16.4903956 49.3103333,16.4861372 49.307916,16.4844719 49.3070455,16.4831054 49.3065729,16.4803667 49.3060529,16.478503 49.3059433,16.475923 49.3062267,16.4738423 49.3066988,16.4722988 49.3070174,16.4695587 49.3080684,16.4683622 49.3088653,16.467562 49.3097404,16.4670177 49.3105614,16.4659754 49.3125444,16.4641449 49.3155542,16.4629232 49.3177062,16.4620651 49.3193877,16.4610305 49.3208095,16.4601747 49.3217349,16.4587147 49.322815,16.4575604 49.3236104,16.4569592 49.3231955,16.4556591 49.3246793,16.4541322 49.3249405,16.4542798 49.3254335,16.4554696 49.3249449,16.4579218 49.3245026,16.4581678 49.3242154,16.4578926 49.3238296,16.4593699 49.3227997,16.4610686 49.3213622,16.4616419 49.320828,16.4623456 49.3196193,16.4643392 49.3162643,16.4661106 49.3130184,16.4677522 49.3103049,16.4684251 49.3093297,16.4700773 49.3083428,16.4727073 49.3074418,16.4753811 49.3066206,16.4782494 49.3063433,16.4811596 49.3065323,16.482829 49.3070015,16.485853 49.3084164,16.4889812 49.3103304,16.4897563 49.3111604));M-202101853A;Brno-venkov;Èebín;Hradèany u Tišnova, Sentice;Bíško, Richard;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;27.04.2022;04.09.2023;plošnı odkryv;;silnice II/385, jinì od obce. Parc.è.: -;Ne;anonym
2;P-2432-101665;odchylka jednotky metrù;polygon;24-32-08;49.312637 : 16.466105;POLYGON((16.4649747 49.3140594,16.4655354 49.3140992,16.4660142 49.3132445,16.4664813 49.3122523,16.4668638 49.3116982,16.4664643 49.3116738,16.4656857 49.3130212,16.4649747 49.3140594));M-202101853A;Brno-venkov;Èebín;Hradèany u Tišnova, Sentice;Bíško, Richard;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;27.04.2022;04.09.2023;plošnı odkryv;;silnice II/385, jinì od obce. Parc.è.: -;Ne;anonym
3;P-2432-101666;odchylka jednotky metrù;polygon;24-32-07;49.32374 : 16.457174;POLYGON((16.4558195 49.3245398,16.4566178 49.3244329,16.4573485 49.3242659,16.457665 49.3243788,16.4577961 49.3248633,16.4578671 49.3248775,16.4581275 49.3242239,16.4583761 49.3240071,16.4580408 49.3239709,16.4578384 49.3238503,16.4591321 49.3229629,16.4588935 49.3227678,16.4576065 49.3236271,16.4572125 49.3232992,16.4570724 49.3232333,16.4568276 49.3232999,16.456429 49.3235753,16.456274 49.3238892,16.4561247 49.3242247,16.4559037 49.324438,16.4558144 49.3244906,16.4558195 49.3245398));M-202101853A;Brno-venkov;Èebín;Hradèany u Tišnova, Sentice;Bíško, Richard;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;27.04.2022;04.09.2023;plošnı odkryv;;silnice II/385, jinì od obce. Parc.è.: -;Ne;anonym
4;P-2432-101667;odchylka jednotky metrù;polygon;24-32-07;49.325104 : 16.454624;POLYGON((16.4539023 49.3254804,16.4545138 49.3252775,16.4546104 49.3251824,16.4547831 49.3251574,16.4549797 49.3250637,16.4552278 49.324925,16.4554384 49.3249526,16.4556379 49.3249738,16.4561005 49.3249896,16.4562855 49.3249653,16.4558237 49.3247673,16.4555007 49.3248893,16.4553255 49.3247907,16.4548659 49.3248615,16.4546234 49.3249029,16.4544479 49.3249249,16.45431 49.3249131,16.4541228 49.3249277,16.4541205 49.3249563,16.4542779 49.3249579,16.4543385 49.3249873,16.4543617 49.3250508,16.4543522 49.3251474,16.4543178 49.3252018,16.4542419 49.3252882,16.454169 49.3253406,16.4538852 49.3254626,16.4539023 49.3254804));M-202101853A;Brno-venkov;Èebín;Hradèany u Tišnova, Sentice;Bíško, Richard;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;27.04.2022;04.09.2023;plošnı odkryv;;silnice II/385, jinì od obce. Parc.è.: -;Ne;anonym
8;P-2432-100812;odchylka jednotky metrù;polygon;24-32-09;49.30697 : 16.546236;POLYGON((16.546837 49.3078187,16.547514 49.3075441,16.5455522 49.3058757,16.5448219 49.3063936,16.546837 49.3078187));M-202200098A;Brno-venkov;Kuøim;;Parma, David;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;12.07.2021;25.07.2022;plošnı odkryv;;Kuøim. Parc. è. 3062/38, 3062/48, 3062/55.;Ne;anonym
9;P-2432-100752;odchylka jednotky metrù;polygon;24-32-14;49.292652 : 16.544039;POLYGON((16.5440281 49.2927584,16.5442094 49.2926158,16.5440335 49.2925428,16.5438736 49.2926888,16.5440281 49.2927584));M-202103203A;Brno-venkov;Kuøim;;Parma, David;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;14.06.2021;01.10.2021;plošnı odkryv;;-. Parc. è. 5111.;Ne;anonym
11;P-2432-100640;odchylka jednotky metrù;polygon;24-32-02;49.348747 : 16.422892;POLYGON((16.4231572 49.3487904,16.4230842 49.3486438,16.4226342 49.3487059,16.4226787 49.3488589,16.4231572 49.3487904));M-9000521A;Brno-venkov;Tišnov;;Kováèik, Peter;Archaia Brno, z.ú.;pøesné datum;06.06.2001;31.10.2001;plošnı odkryv;;nám. Míru;Ne;anonym
13;P-2432-100612;odchylka desítky metrù;polygon;24-32-14;49.27755 : 16.535324;POLYGON((16.5384258 49.2809192,16.5399664 49.2800521,16.5403289 49.2793033,16.540933 49.2778844,16.540208 49.2772144,16.5412351 49.2743173,16.5422621 49.274002,16.5417788 49.2736472,16.5399966 49.2742582,16.5395435 49.274002,16.5385466 49.2744158,16.5384258 49.2750071,16.5350123 49.2766231,16.5320822 49.2739034,16.5298469 49.2769385,16.5315989 49.2816089,16.5381539 49.2819045,16.5384258 49.2809192));M-9000254A;Brno-venkov;Kuøim;;Geisler, Martin;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;06.04.2005;20.10.2005;plošnı odkryv;;"tra U Marušky; golfové hrištì";Ne;anonym
14;P-2432-100638;odchylka desítky metrù;polygon;24-32-02;49.343185 : 16.432108;POLYGON((16.432111 49.3432469,16.4321779 49.3432108,16.4321045 49.3431662,16.432049 49.3432076,16.432111 49.3432469));M-9000518A;Brno-venkov;Tišnov;;Nekvasil, Jindra;Archeologickı ústav AV ÈR, Brno, v.v.i.;pøesné datum;04.06.1954;05.08.1954;plošnı odkryv;;tra U Mlıniska;Ne;anonym
15;P-2432-100614;odchylka desítky metrù;polygon;24-32-14;49.27737 : 16.539103;POLYGON((16.5396567 49.2775795,16.5396275 49.2770812,16.5385662 49.277161,16.5385546 49.2776822,16.5396567 49.2775795));M-9000254A;Brno-venkov;Kuøim;;Geisler, Martin;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;06.04.2005;20.10.2005;plošnı odkryv;;"tra U Marušky; golfové hrištì";Ne;anonym
16;P-2432-100611;odchylka jednotky metrù;polygon;24-32-13;49.29457 : 16.520582;POLYGON((16.5209354 49.2943136,16.5205653 49.2942034,16.5202354 49.2948278,16.5206055 49.2949171,16.5209354 49.2943136));M-9000253A;Brno-venkov;Kuøim;;Vıška, Karel;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;15.09.2005;20.09.2005;plošnı odkryv;;tra Podhonky, p.è. 2700/4;Ne;anonym
